v	ID	###	Noun base	Verb base	PROPERTIES	group	trans?	object	argument	locative argument	weak / optional argument	Examples: Positive	Examples: Negative + Question	NEGATIVE examples: should NOT match	Noun examples	GROUPS + COMMENTS + NOTES		DISTRACTORS
					*CONCEPTS*													
	319		karkote	karkottaa			Transitive	HEAD:Noun + Case:Objective	HEAD:Noun + Case:Elative / HEAD:Noun + Case:Ablative	HEAD:Noun + Case:Illative / HEAD:Noun + Case:Allative		Vakoojat karkotettiin maasta takaisin kotimaihinsa						
					*CONCEPTS*													
	320			karsia			Transitive	HEAD:Noun + Case:Objective	HEAD:Noun + Case:Elative			Karsin kuusesta oksat.						
					*CONCEPTS*													
	323			karttaa			Transitive	HEAD:Noun + Case:Partitive				He karttavat työntekoa.						
					*CONCEPTS*													
	324			karttua			Intransitive	—	HEAD:Noun + Case:Illative / HEAD:Noun + Case:Allative			Pankkitilille karttui paljon rahaa.						
					*CONCEPTS*													
	325		kasa	kasata			Transitive	HEAD:Noun + Case:Objective	HEAD:Noun + Case:Illative / HEAD:Noun + Case:Allative			Tyttö kasasi laatikot kaapin nurkkaan						
					*CONCEPTS*													
	330		kaste	kastaa			Transitive	HEAD:Noun + Case:Objective	HEAD:Noun + Case:Illative			Kastan leivän maitoon.	Kastan usein näkkileipää teehen.					
					*CONCEPTS*													
	331			kastaa			Transitive	HEAD:Noun + Case:Objective	HEAD:Noun-ONLY + Case:Translative			Pappi kastoi lapsen Villeksi.						
					*CONCEPTS*													
	332		kasvu	kasvaa			Intransitive	—	HEAD:Noun-ONLY + Case:Translative / POS:Adjective + Case:Translative			Tukka kasvoi nopeasti pitkäksi.						
					*CONCEPTS*													
	333			kasvaa			Intransitive	—	HEAD:Noun + Case:Elative			Pienestä siemenestä kasvoi korkea puu.						
					*CONCEPTS*													
	335		katselu	katsella			Transitive	HEAD:Noun + Case:Partitive				Katselin televisiota koko illan.						
					*CONCEPTS*													
	336		katse	katsoa			Transitive	HEAD:Noun + Case:Partitive				Katsoin tätä taulua.						
					*CONCEPTS*													
	337			katsoa			Intransitive	—	HEAD:Noun + Case:Illative			Hän katsoi veteen.						
					*CONCEPTS*													
	338			katsoa			Transitive	HEAD:Noun + Case:Objective	HEAD:Noun + Case:Elative / HEAD:Noun + Case:Ablative			Katsoin ilotulitusta parvekkeelta. // Tyttö katsoi meitä ikkunasta.						
					*CONCEPTS*													
	339	4.8		katua			Transitive	HEAD:Noun + Case:Partitive				Kadun asiaa kovasti.					regret	
					*CONCEPTS*													
	340			katua			Intransitive	—	että-lause			Kadun, että menin sinne.						
					*CONCEPTS*													
	341			kauhistella			Transitive	HEAD:Noun + Case:Partitive				Asiakas kauhisteli uutta hintaa.						
					*CONCEPTS*													
	342			kauhistua			Transitive	HEAD:Noun + Case:Partitive				Kauhistuin sitä, että minun täytyy mennä sinne yksin.						
					*CONCEPTS*													
	343			kauhistua			Intransitive	—	HEAD:Noun + Case:Elative			He kauhistuivat uutisesta.						
					*CONCEPTS*													
	344			kauhistuttaa			Transitive	HEAD:Noun + Case:Partitive				Minua kauhistutti tämä ajatus.						
					*CONCEPTS*													
	345			kauhistuttaa			Transitive	HEAD:Noun + Case:Partitive	POS:Verb + INF_FORM:Inf-A + Case:Lative			Häntä kauhistutti kertoa totuus.						
					*CONCEPTS*													
	346			kauhistuttaa			Transitive	HEAD:Noun + Case:Partitive	että-lause			Häntä kauhistutti, että hän oli kadottanut passinsa.						
					*CONCEPTS*													
	352			kehdata			Transitive	POS:Verb + INF_FORM:Inf-A + Case:Lative				Kehtaan sanoa sen hänelle.						
					*CONCEPTS*													
	354			kehittyä			Intransitive	—	HEAD:Noun + Case:Elative			Pojasta kehittyi komea mies.						
					*CONCEPTS*													
	355			kehittyä			Intransitive	—	HEAD:Noun-ONLY + Case:Translative			Hän kehittyi hyväksi taiteilijaksi.						
					*CONCEPTS*													
	353			kehittää			Transitive	HEAD:Noun + Case:Objective	HEAD:Noun + Case:Elative			Valokuvaamo kehitti kuvasta suurennoksen.						
					*CONCEPTS*													
	356			kehottaa			Transitive	HEAD:Noun + Case:Partitive	POS:Verb + INF_FORM:Inf-Ma + Case:Illative			Kehotin Ninaa hakemaan stipendiä.						
					*CONCEPTS*													
	357			kehua			Transitive	HEAD:Noun + Case:Partitive		HEAD:Noun + Case:Elative		Isä kehui poikaa hyvästä työstä.						
					*CONCEPTS*													
	358			kehua			Transitive	HEAD:Noun + Case:Partitive	HEAD:Noun-ONLY + Case:Translative / POS:Adjective + Case:Translative			Hän kehui näytelmää hyväksi.						
					*CONCEPTS*													
	359			keinuttaa			Transitive	HEAD:Noun + Case:Partitive				Tuuli keinutti laivaa.						
					*CONCEPTS*													
	360			kellua			Intransitive	—	HEAD:Noun + Case:Inessive / HEAD:Noun + Case:Adessive			Kelluin vedessä kauan  //  Keiton pinnalla kellui rasvaa.						
					*CONCEPTS*													
	361	4.8		kelvata			Intransitive	—	HEAD:Noun + Case:Illative / HEAD:Noun + Case:Allative			Tämä ruoka ei kelpaa kissalleni						
					*CONCEPTS*													
	366			keritä			Transitive	POS:Verb + INF_FORM:Inf-A + Case:Lative / POS:Verb + INF_FORM:Inf-Ma + Case:Illative										
					*CONCEPTS*													
	367			kerskailla		KEINO/VÄLINE 	Intransitive	—	HEAD:Noun + Case:Adessive			Hän kerskailee rahoillaan.				(= kerskailla, ylpeillä, leuhkia)		
					*CONCEPTS*				Syntax-adessiivi-keino-väline									
	368			kertoa			Transitive	HEAD:Noun + Case:Objective		HEAD:Noun + Case:Allative		Hän kertoi meille salaisuuden Liisasta.				Larin korjaus		
					*CONCEPTS*					Syntax-allatiivi-kommunikaatio								
	369			kertoa			Intransitive	—	HEAD:Noun + Case:Elative	HEAD:Noun + Case:Allative	että-lause	Hän kertoo meille Liisasta.						
					*CONCEPTS*					Syntax-allatiivi-kommunikaatio								
	370			kertyä			Intransitive	—	HEAD:Noun + Case:Illative / HEAD:Noun + Case:Allative			Kassaan kertyi rahaa. Taivaalle kertyi pilviä.						
					*CONCEPTS*													
	364			kerätä			Transitive	HEAD:Noun + Case:Objective	HEAD:Noun + Case:Elative / HEAD:Noun + Case:Ablative			Mies keräsi omenoita maasta. // Tyttö keräsi mielipiteitä uudistuksesta.						
					*CONCEPTS*													
	365			kerätä			Transitive	HEAD:Noun + Case:Objective	HEAD:Noun + Case:Illative / HEAD:Noun + Case:Allative			Isä keräsi pyykit koriin. //  Lintuemo keräsi ruokaa poikasilleen.						
					*CONCEPTS*													
	362			kerääntyä			Intransitive	—	HEAD:Noun + Case:Illative / HEAD:Noun + Case:Allative			Pöly kerääntyi pöydän pinnalle. // Ihmiset kerääntyivät väestönsuojaan.						
					*CONCEPTS*													
	363			kerääntyä			Intransitive	—	POS:Verb + INF_FORM:Inf-Ma + Case:Illative			Urheilijat kerääntyivät stadionille harjoittelemaan.						
					*CONCEPTS*													
	372			keskittyä			Intransitive	—	HEAD:Noun + Case:Illative / HEAD:Noun + Case:Allative			Hän osaa keskittyä tehtäviin hyvin.	Talousasiat ovat keskittyneet hallitukselle.					
					*CONCEPTS*													
	373			keskittyä			Intransitive	—	POS:Verb + INF_FORM:Inf-Ma + Case:Illative			Keskityn kävelemään.						
					*CONCEPTS*													
	371			keskittää			Transitive	HEAD:Noun + Case:Objective	HEAD:Noun + Case:Illative / HEAD:Noun + Case:Allative			Olemme keskittäneet ostoksemme yhteen tavarataloon.	Liikennevalvonta on keskitetty poliiseille.					
					*CONCEPTS*													
	374			keskustella			Intransitive	—	HEAD:Noun + Case:Elative	HEAD:PostPosition + Base:kanssa + Gov_Case:Genitive		Hän keskusteli asiasta koululla opettajien kanssa	Haluaisimme keskustella tästä asiasta.					
					*CONCEPTS*													
	375			keskustella			Transitive	HEAD:Noun + Case:Objective		HEAD:PostPosition + Base:kanssa + Gov_Case:Genitive		Keskustelemme asiat selviksi.						
					*CONCEPTS*													
	376			kiduttaa			Transitive	HEAD:Noun + Case:Partitive				Viholliset kiduttivat vankia sodan aikana.						
					*CONCEPTS*													
	379			kieltäytyä			Intransitive	—	HEAD:Noun + Case:Elative			Hän kieltäytyi tarjouksesta.						
					*CONCEPTS*													
	380			kieltäytyä			Intransitive	—	POS:Verb + INF_FORM:Inf-Ma + Case:Elative			Kieltäydyn syömästä mämmiä.						
					*CONCEPTS*													
	377			kieltää			Transitive	HEAD:Noun + Case:Partitive	POS:Verb + INF_FORM:Inf-Ma + Case:Elative			Kielsin häntä lähtemästä matkalle.						
					*CONCEPTS*													
	378			kieltää		ESTE	Transitive	HEAD:Noun + Case:Objective		HEAD:Noun + Case:Ablative		Lääkäri kielsi minulta tupakanpolton.	laki kieltää tupakan mainostamisen					
					*CONCEPTS*					syntax-ablative-este								
	381			kiidättää			Transitive	HEAD:Noun + Case:Objective	HEAD:Noun + Case:Illative / HEAD:Noun + Case:Allative			Ambulanssi kiidätti hänet sairaalaan.  //  Bussi kiidätti matkustajat lentokentälle.						
					*CONCEPTS*													
	382			kiihottaa			Transitive	HEAD:Noun + Case:Partitive				Hyvä kirja kiihottaa mielikuvitusta.						
					*CONCEPTS*													
	383			kiihtyä			Intransitive	—	HEAD:Noun + Case:Elative			Kiihdyn usein ihan turhasta.						
					*CONCEPTS*													
	384			kiihtyä		REAKTIO?	Intransitive	—	HEAD:Noun + Case:Elative	HEAD:Noun + Case:Allative		Hän kiihtyi minulle jostakin.						
					*CONCEPTS*													
	385	4.8		kiinnittää			Transitive	HEAD:Noun + Case:Objective	HEAD:Noun + Case:Illative			Kiinnitimme veneen laituriin.						
					*CONCEPTS*													
	385.1	4.8		kiinnittyä			Intransitive	—	HEAD:Noun + Case:Illative			Hänen huomionsa kiinnittyi muualle.						
					*CONCEPTS*													
	386			kiinnostaa			Transitive	HEAD:Noun + Case:Partitive				Asia kiinnostaa minua.						
					*CONCEPTS*			Syntax-tunnekausatiivi-object										
	387			kiinnostaa			Transitive	HEAD:Noun + Case:Partitive	POS:Verb + INF_FORM:Inf-A + Case:Lative			Minua kiinnostaa lähteä teatteriin.						
					*CONCEPTS*			Syntax-tunnekausatiivi-object										
	388			kiinnostua			Intransitive	—	HEAD:Noun + Case:Elative			Hän kiinnostui heti asiasta.						
					*CONCEPTS*													
	389			kiinnostua			Intransitive	—	POS:Verb + INF_FORM:Inf-Ma + Case:Illative			Hän kiinnostui tutkimaan tähtiä.						
					*CONCEPTS*													
	390			kiintyä			Intransitive	—	HEAD:Noun + Case:Illative			Kiinnyimme kissaan heti.						
					*CONCEPTS*													
	391			kiistellä			Intransitive	—	HEAD:Noun + Case:Elative			Kiistelemme kaikista asioista.				(= kinastella)		
					*CONCEPTS*													
	392			kiittää			Transitive	HEAD:Noun + Case:Partitive	HEAD:Noun + Case:Elative			Kiitän teitä kaikesta.						
					*CONCEPTS*													
	393			kiivetä			Intransitive	—	HEAD:Noun + Case:Illative / HEAD:Noun + Case:Allative			Kana kiipesi orrelle. // Lapsi kiipesi syliin.						
					*CONCEPTS*													
	394			kiljua			Intransitive	—	HEAD:Noun + Case:Elative			Lapset kiljuivat riemusta.					shriek	
					*CONCEPTS*													
	395			kilpailla			Intransitive	—	HEAD:Noun + Case:Elative			Kaikki kilpailivat ensimmäisestä palkinnosta.						
					*CONCEPTS*													
	396			kinastella			Intransitive	—	HEAD:Noun + Case:Elative			Kinastelemme hinnasta.						
					*CONCEPTS*													
	397			kirjoittaa			Transitive	HEAD:Noun + Case:Objective	HEAD:Noun + Case:Elative	HEAD:Noun + Case:Allative	HEAD:Noun + Case:Illative 	lääkäri kirjoitti potilaalle reseptin						
					*CONCEPTS*					Syntax-allatiivi-kommunikaatio								
	399			kirkua			Intransitive	—	HEAD:Noun + Case:Elative			Kiruin pelosta, kun näin käärmeen.						
					*CONCEPTS*													
	400			kiukutella			Intransitive	—	HEAD:Noun + Case:Elative			Hän kiukuttelee rahasta.						
					*CONCEPTS*													
	401			kiukuttaa			Transitive	HEAD:Noun + Case:Partitive				Tämä asia kiukuttaa minua.						
					*CONCEPTS*													
	402			kiusata			Transitive	HEAD:Noun + Case:Partitive				He kiusaavat häntä aina.						
					*CONCEPTS*													
	403			koettaa			Transitive	HEAD:Noun + Case:Partitive				Minä kokeilin pojan otsaa.	Koeta tuota patteria, se on ihan kylmä!			Larin korjaus		
					*CONCEPTS*													
	404			koettaa			Transitive	POS:Verb + INF_FORM:Inf-A + Case:Lative				Koeta tehdä jotakin!				(= yrittää)		
					*CONCEPTS*													
	405			kohdata			Transitive	HEAD:Noun + Case:Objective	HEAD:Noun + Case:Inessive / HEAD:Noun + Case:Adessive			Prinsessa kohtasi prinssin unessaan. // Opiskelija kohtasi kaverinsa luennoilla.						
					*CONCEPTS*													
	406			kohdella			Transitive	HEAD:Noun + Case:Partitive				Kauppias kohtelee asiakasta hyvin.						
					*CONCEPTS*													
	408			kohdistaa			Transitive	HEAD:Noun + Case:Objective	HEAD:Noun + Case:Illative			James kohdisti kameran häneen						
					*CONCEPTS*													
	408			kohdistaa		KOMMUNIKAATIO	Transitive	HEAD:Noun + Case:Objective	HEAD:Noun + Case:Allative			James kohdisti kirjeen hänelle				???		
					*CONCEPTS*				Syntax-allatiivi-kommunikaatio									
	409			kohdistua			Intransitive	—	HEAD:Noun + Case:Illative			Huomio kohdistui heti presidenttiin.						
					*CONCEPTS*													
	407			kohdentua			Intransitive	—	HEAD:Noun + Case:Illative			Huomio kohdentui pääministeriin.						
					*CONCEPTS*													
	946			suuntautua			Intransitive	—	HEAD:Noun + Case:Illative			Kiinnostus suuntautui hänen tekoihinsa.						
					*CONCEPTS*													
	410	2.2		kokeilla			Transitive	HEAD:Noun + Case:Partitive				Kokeilimme uutta metodia.  //  Haluaisin kokeilla uutta reseptiä						
					*CONCEPTS*													
	411			kokoontua			Intransitive	—	HEAD:Noun + Case:Illative / HEAD:Noun + Case:Allative			Kokoonnuimme saliin. // Väkijoukko kokoontui eduskuntatalolle.						
					*CONCEPTS*													
	412	4.8		kokoontua			Intransitive	—	POS:Verb + INF_FORM:Inf-Ma + Case:Illative			He kokoontuivat olohuoneeseen katsomaan televisiota.						
					*CONCEPTS*													
	413			komentaa			Transitive	HEAD:Noun + Case:Objective	HEAD:Noun + Case:Illative / HEAD:Noun + Case:Allative			Rehtori komensi kaikki jonoon.						
					*CONCEPTS*													
	414			komentaa			Transitive	HEAD:Noun + Case:Objective	POS:Verb + INF_FORM:Inf-Ma + Case:Illative			Äiti komensi lapset nukkumaan.						
					*CONCEPTS*													
	415			kommentoida			Transitive	HEAD:Noun + Case:Partitive				Helsingin Sanomat kommentoi asiaa etusivulla.						
					*CONCEPTS*													
	416			kompastua			Intransitive	—	HEAD:Noun + Case:Illative			Hän kompastui kiveen.						
					*CONCEPTS*													
	417			kompastua			Intransitive	—	HEAD:Noun + Case:Inessive / HEAD:Noun + Case:Adessive			Kompastuin portaissa. // Kompastuin kadulla.						
					*CONCEPTS*													
	418			koostua			Intransitive	—	HEAD:Noun + Case:Elative			Lause koostuu sanoista.						
					*CONCEPTS*													
	419			koota			Transitive	HEAD:Noun + Case:Objective	HEAD:Noun + Case:Illative / HEAD:Noun + Case:Allative			Valmentaja kokosi luistelijat muodostelmaan. // Valmentaja kokosi pelaajat kentälle. 						
					*CONCEPTS*													
	420			koota			Transitive	HEAD:Noun + Case:Objective	HEAD:Noun + Case:Elative / HEAD:Noun + Case:Ablative			Kokki kokosi aterian tähteistä. 						
					*CONCEPTS*													
	421			koputtaa			Transitive	HEAD:Noun + Case:Partitive				Hän koputtaa puuta kolme kertaa.						
					*CONCEPTS*													
	422			koputtaa			Intransitive	—	HEAD:Noun + Case:Illative			Joulupukki koputti oveen.						
					*CONCEPTS*													
	423			koristella			Transitive	HEAD:Noun + Case:Objective	HEAD:Noun + Case:Adessive			Koristelimme kuusen kynttilöillä.						
					*CONCEPTS*				Syntax-adessiivi-keino-väline									
	424			korostaa			Transitive	HEAD:Noun + Case:Partitive				Hän korosti asiaa vielä kerran.						
					*CONCEPTS*													
	425			korvata			Transitive	HEAD:Noun + Case:Objective	HEAD:Noun + Case:Adessive			Saat korvata voin margariinilla.						
					*CONCEPTS*				Syntax-adessiivi-keino-väline									
	426			kosia			Transitive	HEAD:Noun + Case:Partitive				Pekka kosi Liisaa.						
					*CONCEPTS*													
	427	3.1		koskea			Transitive	HEAD:Noun + Case:Partitive				Kysymys koski budjettia.						
					*CONCEPTS*													
	428			koskea			Intransitive	—	HEAD:Noun + Case:Illative			Esineisiin ei saa koskea!						
					*CONCEPTS*													
	429			koskettaa			Transitive	HEAD:Noun + Case:Partitive				Asia koskettaa meitä kaikkia.						
					*CONCEPTS*													
	430			kostaa		REAKTIO?	Transitive	HEAD:Noun + Case:Objective	HEAD:Noun + Case:Allative			Minä kostan tämän sinulle	Kostan vielä sinulle!					
					*CONCEPTS*													
	431			kotiutua			Intransitive	—	HEAD:Noun + Case:Illative / HEAD:Noun + Case:Allative			Mummo kotiutui vanhainkotiin						
					*CONCEPTS*													
	432			kotiutua			Intransitive	—	HEAD:Noun + Case:Elative / HEAD:Noun + Case:Ablative			Mummo kotiutui sairaalasta						
					*CONCEPTS*													
	433			kouluttaa			Transitive	HEAD:Noun + Case:Objective	HEAD:Noun + Case:Illative			Yliopisto kouluttaa moniin ammatteihin.	Mihin ammattiin tämä oppilaitos kouluttaa?					
					*CONCEPTS*													
	434			kouluttaa			Transitive	HEAD:Noun + Case:Objective	HEAD:Noun-ONLY + Case:Translative			Isä koulutti lapsensa lääkäriksi.						
					*CONCEPTS*													
	435			kouluttaa			Transitive	HEAD:Noun + Case:Objective	HEAD:Noun + Case:Elative			Koulutimme tytöstä maisterin.						
					*CONCEPTS*													
	436			kritisoida			Transitive	HEAD:Noun + Case:Partitive				Lehdet kritisoivat hallitusohjelmaa.	Lehdet ovat kritisoineet häntä.					
					*CONCEPTS*													
	437			kruunata			Transitive	HEAD:Noun + Case:Objective	HEAD:Noun-ONLY + Case:Translative			Kansa kruunasi hänet kuninkaaksi.						
					*CONCEPTS*													
	438			kuiskata		KOMMUNIKAATIO	Transitive	HEAD:Noun + Case:Objective	HEAD:Noun + Case:Allative			Hän kuiskasi minulle salaisuuden.						
					*CONCEPTS*				Syntax-allatiivi-kommunikaatio									
	439			kulua			Intransitive	—	HEAD:Noun + Case:Illative			Ruokaan kuluu liian paljon rahaa.						
					*CONCEPTS*													
	440			kulua			Intransitive	—	HEAD:Noun + Case:Elative			Ullan syntymäpäivästä on kulunut jo 3 viikkoa.						
					*CONCEPTS*													
	441	3.6		kuluttaa			Transitive	HEAD:Noun + Case:Objective	HEAD:Noun + Case:Illative			Hän kuluttaa kaikki rahansa vaatteisiin.	Kuluttaako auto paljon bensaa?					
					*CONCEPTS*													
	442			kummastella			Transitive	HEAD:Noun + Case:Partitive				Kaikki kummastelivat uutta kampaustani.						
					*CONCEPTS*													
	443			kummastua			Intransitive	—	HEAD:Noun + Case:Elative			Hän kummastui kysymyksestä kovasti.						
					*CONCEPTS*													
	444			kunnioittaa			Transitive	HEAD:Noun + Case:Partitive				Kunnioitamme häntä.						
					*CONCEPTS*													
	445			kunnioittaa			Transitive	HEAD:Noun + Case:Partitive	HEAD:Noun + Case:Essive			Kunnioitan häntä äitinä suuresti.						
					*CONCEPTS*													
	446			kuolla			Intransitive	—	HEAD:Noun + Case:Illative			Hän kuoli syöpään.						
					*CONCEPTS*													
	447			kurkistaa			Intransitive	—	HEAD:Noun + Case:Elative / HEAD:Noun + Case:Ablative	HEAD:Noun + Case:Illative / HEAD:Noun + Case:Allative		Poika kurkisti huoneestaan eteiseen // Poika kurkisti ullakolta katolle						
					*CONCEPTS*													
	448			kutittaa			Transitive	HEAD:Noun + Case:Partitive	HEAD:Noun + Case:Elative			Silmiäni kutittaa. // Ei saa kutittaa kainalosta!						
					*CONCEPTS*			Syntax-tunnekausatiivi-object										
	450		kutsu	kutsua			Transitive	HEAD:Noun + Case:Objective	HEAD:Noun + Case:Illative / HEAD:Noun + Case:Allative			Kutsuin hänet teatteriin.	Haluaisin kutsua sinut teatteriin.					
					*CONCEPTS*													
	451			kutsua			Transitive	HEAD:Noun + Case:Objective	HEAD:Noun-ONLY + Case:Translative			Kutsuimme Elisan meille vieraaksi.						
					*CONCEPTS*													
	452			kutsua			Transitive	! HEAD:Noun + Case:Partitive	! HEAD:Noun-ONLY + Case:Translative			Kutsun kissaani Misseksi.						
					*CONCEPTS*													
	453		kutsu	kutsua			Transitive	HEAD:Noun + Case:Objective	POS:Verb + INF_FORM:Inf-Ma + Case:Illative			Hän kutsui meidät syömään klo 12.						
					*CONCEPTS*													
	454			kuulla			Transitive	HEAD:Noun + Case:Objective	HEAD:Noun + Case:Elative			Kuulitko juorun pääministeristä?						
					*CONCEPTS*													
	454b			kuulla		LÄHDE	Transitive	HEAD:Noun + Case:Objective	HEAD:Noun + Case:Ablative			Kuulin juorun naapurilta.						
					*CONCEPTS*				Syntax-ablatiivi-lähde									
	455			kuulla			Transitive	HEAD:Noun + Case:Ablative	että-lause			Kuulin siskolta, että hän on sairastunut.						
					*CONCEPTS*			Syntax-ablatiivi-lähde										
	456	2.3		kuulostaa		AISTI	Intransitive	—	HEAD:Noun + Case:Ablative / POS:Adjective + Case:Ablative			Se kuulostaa mukavalta.						
					*CONCEPTS*				Syntax-ablatiivi-aisti									
	457			kuulua			Intransitive	—	HEAD:Noun + Case:Illative / HEAD:Noun + Case:Allative			Nainen kuului yhteisöön. // Sinä kuulut minulle.						
					*CONCEPTS*													
	458			kuulua			Intransitive	—	HEAD:Noun + Case:Elative / HEAD:Noun + Case:Ablative			Häiritsevä ääni kuului radiosta. // Ulkoa kuului melua.						
					*CONCEPTS*													
	459			kuulustella			Transitive	HEAD:Noun + Case:Partitive				Poliisi kuulusteli minua koko yön.						
					*CONCEPTS*													
	460			kuunnella			Transitive	HEAD:Noun + Case:Partitive				Hän kuuntelee minua.						
					*CONCEPTS*													
	461			kuvitella			Transitive	että-lause				Kuvittelin, että täällä olisi ihan erilaista.						
					*CONCEPTS*													
	462			kuvitella			Transitive	HEAD:Noun + Case:Objective	HEAD:Noun-ONLY + Case:Translative			Kuvittelin Suomen ihan erilaiseksi.						
					*CONCEPTS*													
	462			kuvailla			Transitive	HEAD:Noun + Case:Partitive	HEAD:Noun-ONLY + Case:Translative			Kuvailin Suomea ihan erilaiseksi.						
					*CONCEPTS*													
	463			kyetä			Intransitive	—	HEAD:Noun + Case:Illative			Hän kykenee tähän työhön.						
					*CONCEPTS*													
	464			kyetä			Intransitive	—	POS:Verb + INF_FORM:Inf-Ma + Case:Illative			Hän kykenee tekemään sen.						
					*CONCEPTS*													
	467			kyllästyttää			Transitive	HEAD:Noun + Case:Partitive				Mikon jutut kyllästyttävät meitä.						
					*CONCEPTS*			Syntax-tunnekausatiivi-object										
	468			kyllästyttää			Transitive	HEAD:Noun + Case:Partitive	POS:Verb + INF_FORM:Inf-A + Case:Lative			Minua kyllästyttää kuunnella hänen juttujaan.						
					*CONCEPTS*			Syntax-tunnekausatiivi-object										
	465	4.8		kyllästyä			Intransitive	—	HEAD:Noun + Case:Illative			Kyllästyin koulussa matematiikkaan.						
					*CONCEPTS*													
	466			kyllästyä			Intransitive	—	POS:Verb + INF_FORM:Inf-Ma + Case:Illative			Olen kyllästynyt odottamaan.						
					*CONCEPTS*													
	469			kysellä		LÄHDE	Transitive	HEAD:Noun + Case:Partitive	HEAD:Noun + Case:Elative / HEAD:Noun + Case:Ablative			He kyselevät minulta tätä asiaa usein.		???				
					*CONCEPTS*				Syntax-ablatiivi-lähde									
	470			kysyä			Transitive	HEAD:Noun + Case:Partitive				Minä kysyin neuvoa.	Kysy tästä asiasta opettajalta			Lari: Tämä ja seuraava voisivat kai olla ihan hyvin samassakin. Otin jo yhden vastaavan pois, mutta en nyt saa sitä takaisin...		
					*CONCEPTS*													
	471			kysyä		LÄHDE	Transitive	HEAD:Noun + Case:Partitive	HEAD:Noun + Case:Elative / HEAD:Noun + Case:Ablative			Kysyin neuvoa lääkäriltä.						
					*CONCEPTS*				Syntax-ablatiivi-lähde									
	472			kytkeä			Transitive	HEAD:Noun + Case:Objective	HEAD:Noun + Case:Illative			Hän kytki koiran puuhun.						
					*CONCEPTS*													
	321			kärsiä			Intransitive	—	HEAD:Noun + Case:Elative			Hän kärsii migreenistä.	kärsiä unettomuudesta					
					*CONCEPTS*													
	322			kärsiä			Transitive	HEAD:Noun + Case:Objective	HEAD:PostPosition + Base:takia + Gov_Case:Genitive			Opettajan arvovalta kärsi pahan kolauksen.	Sai kärsiä lastensa takia			??? RY		
					*CONCEPTS*													
	326			käsitellä			Transitive	HEAD:Noun + Case:Partitive				Toinen luku käsittelee tärkeimpiä teoreettisia lähestymistapoja.				Oikeus käsitteli asian. (aspekti? in the feedback box) ???		
					*CONCEPTS*													
	328			käskeä			Transitive	HEAD:Noun + Case:Partitive	POS:Verb + INF_FORM:Inf-Ma + Case:Illative			Käskin häntä menemään ulos.				!!! ??? construction ?		
					*CONCEPTS*													
	329			käskeä			Transitive	HEAD:Noun + Case:Objective	HEAD:Noun + Case:Illative / HEAD:Noun + Case:Allative			Käskin hänet kotiin.						
					*CONCEPTS*													
	334			kätkeä			Transitive	HEAD:Noun + Case:Objective	HEAD:Noun + Case:Illative / HEAD:Noun + Case:Allative			Hän kätki aarteen arkkuun. // Kätkin tavarat mökille.						
					*CONCEPTS*													
	334			kätkeytyä			Intransitive	—	HEAD:Noun + Case:Illative			Selvitetään mitä tähän kätkeytyy.						
					*CONCEPTS*													
	347			käydä			Intransitive	—	HEAD:Noun + Case:Inessive / HEAD:Noun + Case:Adessive / POS:Verb + INF_FORM:Inf-Ma + Case:Inessive			Käyn kaupassa. / Käyn ostamassa jäätelöä.				??? HACK: MERGED noun and infinitive --> into one rule: was causing ambiguity.  Käyn ostamassa jäätelöä.		
					*CONCEPTS*													
	349			käydä			Transitive	HEAD:Noun + Case:Partitive				Hän käy koulua.						
					*CONCEPTS*													
	350			käyttää			Transitive	HEAD:Noun + Case:Partitive	HEAD:Noun + Case:Essive			Käytin sanakirjaa apuna.	Käytän piilolaseja.			?? Käytin sanakirjaa apuna matkoihin.		
					*CONCEPTS*													
	351			käyttää			Transitive	HEAD:Noun + Case:Partitive	HEAD:Noun + Case:Illative			Käytän rahaa matkoihin.						
					*CONCEPTS*													
	295			kääntyä			Intransitive	—	HEAD:Noun + Case:Illative / HEAD:Noun + Case:Allative	HEAD:Noun + Case:Elative / HEAD:Noun + Case:Ablative		Auto kääntyi pihaan autotieltä. // Pyöräilijä kääntyi tielle jalkakäytävältä.						
					*CONCEPTS*													
	296			kääntyä			Intransitive	—	HEAD:PostPosition + Base:puoleen + Gov_Case:Genitive			Voitte kääntyä Liisan puoleen tässäkin asiassa.						
					*CONCEPTS*													
	293			kääntää			Transitive	HEAD:Noun + Case:Objective	HEAD:Noun-ONLY + Case:Translative / HEAD:Noun + Case:Illative			Kirjailija käänsi tekstinsä suomeksi. // Kirjailija käänsi huomion itseensä.						
					*CONCEPTS*													
	294			kääntää			Transitive	HEAD:Noun + Case:Objective	HEAD:Noun + Case:Elative	HEAD:Noun + Case:Illative		Voisin kääntää sen unkarista suomeen.						
					*CONCEPTS*													
	478			laajentaa			Transitive	HEAD:Noun + Case:Objective				Alkoholi laajentaa verisuonia						
					*CONCEPTS*													
	478			lahjoa			Transitive	HEAD:Noun + Case:Objective	POS:Verb + INF_FORM:Inf-Ma + Case:Illative			Kalle lahjoi pikkusiskon tiskaamaan puolestaan.						
					*CONCEPTS*													
